user_key,total_retweets
4mysquad,62.0
_nickluna_,3.0
adrienne_gg,3.0
aldrich420,24.0
amandavgreen,8.0
ameliebaldwin,27.0
archieolivers,10.0
atlanta_online,17.0
baltimore0nline,40.0
batonrougevoice,37.0
beckster319,1.0
berkhoff85,1.0
bgarner2107,2.0
blackeyeblog,26.0
blackmattersus,852.0
blacknewsoutlet,8152.0
blacktivists,185.0
blacktolive,8206.0
blacneighbor,305.0
bleepthepolice,23535.0
blk_voice,7280.0
bydrbre_,1.0
carriethornthon,163.0
cassishere,27.0
catelinewatkins,23.0
chaneutral,2.0
chesplayschess,1.0
chicagodailynew,225.0
chrixmorgan,66.0
claudia42kern,1.0
coldwar20_ru,224.0
cookncooks,23.0
crystal1johnson,157440.0
curtisbigman,2.0
cynthiamhunter,5.0
daileyjadon,2.0
dailylosangeles,72.0
dailysandiego,39.0
dailysanfran,90.0
dallastopnews,38.0
danageezus,78.0
dannythehappies,3.0
darrell_h_hunt,12.0
detroitdailynew,39.0
deusxyx,10.0
devinedevinbr,16.0
dominicvalent,4.0
donnabrivera,259.0
dontshootcom,5.0
dorothiebell,123.0
emileewaren,58.0
erdollum,2.0
evagreen69,868.0
finley1589,23.0
gab1aldana,1.0
garrettsimpson_,4.0
giselleevns,201.0
globalfoe,5.0
gloed_up,51155.0
happkendrahappy,47.0
heyits_toby,8.0
hollydler,21.0
holycrapchrix,2.0
houstontopnews,13.0
hyddrox,256.0
ilikebigbuttand,6.0
inst_vets,34.0
instotus,14.0
interfischer,4.0
internalmemer,2.0
itstimetosecede,1504.0
j0hnlarsen,1.0
jacksoncitypost,3.0
jacquelinisbest,9.0
jasper_fly,1.0
jeannemccarthy0,55.0
jeblary2016,16651.0
jeffreykahunas,13.0
jenn_abrams,52447.0
jihadist2ndwife,1050.0
johnbranchh,1.0
judelambertusa,71.0
kadirovrussia,592.0
kansasdailynews,102.0
karenparker93,55.0
kateritterrrr,9.0
kathiemrr,9.0
kelvin_chambers,10.0
kenzdonovan,6.0
laurabaeley,6.0
lavrovmuesli,1572.0
lazykstafford,68.0
leroylovesusa,316.0
lgbtuni,1.0
loragreeen,3.0
luke_jones13,5504.0
march_for_trump,3606.0
margosavazh,167.0
marissaimstrong,789.0
maxdementiev,100.0
meggieoneil,1.0
michellearry,131.0
mil0blake,14.0
missourinewsus,2962.0
mr_clampin,7.0
muslims_in_usa,38.0
newarkvoice,20.0
neworleanson,37.0
newspeakdaily,2.0
nj_blacknews,97.0
notritahart,5.0
novostidamask,740.0
oaklandonline,27.0
onlinecleveland,143.0
onlinememphis,6.0
pamela_moore13,374732.0
paolakinck,108.0
pati_cooper,49.0
patriot_archive,401.0
patriotblake,130.0
patriototus,8219.0
patriotraphael,3.0
philadelphiaon,41.0
phoenixdailynew,70.0
pigeontoday,3845.0
politopros,1.0
politweecs,7306.0
prettylaraplace,135.0
priceforpierce,27.0
puredavie,22.0
realrobert1987,21.0
realten_gop,9419.0
redlanews,11676.0
rh0lbr00k,102.0
richmondvoice,15.0
rightnpr,8552.0
russianallies,66.0
sanantotopnews,33.0
scottgohard,17.0
screamymonkey,2.0
seattle_post,24.0
skatewake1994,1.0
southlonestar,76435.0
stanley_cox_,12.0
stlouisonline,31.0
ten_gop,1211479.0
thefoundingson,58272.0
todaybostonma,33.0
todaycincinnati,13.0
todayinsyria,3434.0
todaymiami,31.0
todaynycity,196.0
todaypittsburgh,30.0
toneporter,2.0
tpartynews,71310.0
traceyhappymom,4.0
trayneshacole,44109.0
usa_gunslinger,46375.0
wadeharriot,5.0
warfareww,2112.0
washingtonline,443.0
westernwindwes,16.0
whitehousecards,218.0
williams8kalvin,1.0
williams_diana_,629.0
worldnewspoli,152.0
worldofhashtags,32.0
yattvrussia,10.0
zubovnik,18.0
