user_key,retweet_count,text,hashtags
pamela_moore13,138.0,"Dave Chappelle: ""Black Lives Matter"" is the worst slogan I've ever heard! How about ""enough is enough""? VotingTrump! https://t.co/5okvmoQhcj",[]
pamela_moore13,592.0,"The war is here! 
This gentleman made more sense in 30 sec than #Obama for all time of his presidency.. https://t.co/OHueWuqwhO","[""Obama""]"
pamela_moore13,281.0,"Deceitful Media caught on act when trying to drive the ""Donald Trump is racist"" rhetoric. 

#BlacksForTrump https://t.co/czKOvbfkVQ","[""BlacksForTrump""]"
usa_gunslinger,10.0,"What the Hell, this isn't English. https://t.co/gAOEryrGm6",[]
blackmattersus,4.0,Clinton’s VP Choice: More Harm Than Good https://t.co/iGnLChFHeP,[]
march_for_trump,2.0,"Join the flashmob across the state of Florida to support Mr. Trump on August, 20. Check the details on our page.",[]
jenn_abrams,269.0,"The most honest Hillary's poster I've seen 😂
Good morning, guys https://t.co/rLQDW2ZOb3",[]
ten_gop,367.0,"Jon Voight: Let Donald Trump know we are completely behind him, and may God give him the strength to continue his c… https://t.co/CJt6I70UIl",[]
onlinecleveland,1.0,Republican strategist Grover Norquist explains Donald Trump's appeal (video): Longtime Republican strategist Gro...  #Cleveland #politics,"[""Cleveland"",""Politics""]"
ten_gop,24.0,"Reminder: Hillary caught using a child actor‼️ at her townhall in Haverford, PA

#Debate","[""Debate""]"
thefoundingson,37.0,George Soros owning voting machines in 16 states is what suppresses the vote #WakeUpAmerica https://t.co/YX5Nkp928K,"[""WakeUpAmerica""]"
ten_gop,80.0,"#MyDreamPresidentIs the man who took on:

The political class;
The media;
Hollywood;
Wall Street;
Rigged polls.

An… https://t.co/tGQf31XQW9","[""MyDreamPresidentIs""]"
chicagodailynew,1.0,"BREAKING: Gov. Mike Pence’s Plan Slides Off Runway, No Apparent Injuries https://t.co/mpjJIKBldb",[]
ten_gop,40.0,"Poll: 74% Voters Reject Obama’s Middle East Refugee Plan

https://t.co/kMK99bIJq1 https://t.co/R0Qau3FfUK",[]
jenn_abrams,91.0,"A contemporary history lesson in American college
What a time to be alive!
#2016isaJoke https://t.co/rWlc9gLLwo","[""2016isaJoke""]"
worldnewspoli,1.0,VIDEO : Trump Will Give Blacks Real HOPE AND CHANGE! https://t.co/AbH2dZLWeQ https://t.co/VROJFfpCYF,[]
southlonestar,165.0,No more corrupt politicians. Clintons must be the first to jail next to Obama #RiggedSystem https://t.co/DcvdqMklBe,"[""RiggedSystem""]"
pamela_moore13,124.0,"NBC Donated $5.6 Million To Democratic Party, Provided First Debate’s Moderator
https://t.co/Fuxkxhiukx https://t.co/DI7vVs8Mn6",[]
southlonestar,287.0,Blood of police officers in Dallas are on Obama's hand. And on every Democrat supporting him or Hillary Clinton https://t.co/BKk59DvRkH,[]
crystal1johnson,193.0,#BlackLivesMatter doesn’t mean other lives don’t — it’s simply asking that the black community also achieves the ju… https://t.co/qXr7WDlS8t,"[""Blacklivesmatter""]"
